Totals & Averages,INVOICEID,IINVOICENUM,TENANTID,DINVOICED,DDUE,DPAIDTHRU,DDELETED,INVOICEDETAILID,LEDGERID,CHARGEID,PAYMENTID,EMPLOYEEID
,60480,36,1358,2010-04-17 09:00:01.157000,2010-05-02 23:59:59,,,146803,1561,535786,538734,93
,60568,42,1467,2010-04-19 09:18:59.233000,2010-05-03 23:59:59,,,146957,1673,536154,540039,93
,60668,53,1392,2010-04-20 09:07:53.203000,2010-05-05 23:59:59,,,147125,1596,536521,541559,95
,60722,54,1325,2010-04-21 09:54:23.287000,2010-05-06 23:59:59,,,147198,1528,536854,540909,93
,60723,55,1598,2010-04-21 09:54:28.927000,2010-05-06 23:59:59,,,147199,1810,536855,542179,93
,60725,57,7681,2010-04-21 09:54:37.083000,2010-05-06 23:59:59,,,147201,1749,536856,548995,93
,62949,152,7681,2010-05-22 09:35:41.883000,2010-06-06 23:59:59,,,151132,1749,536856,548995,93
,60763,59,1604,2010-04-22 08:10:59.973000,2010-05-07 23:59:59,,,147244,1816,537042,538439,91
,60764,60,1605,2010-04-22 08:11:04.147000,2010-05-07 23:59:59,,,147245,1817,537043,542725,91
,60813,61,1295,2010-04-23 08:26:49.733000,2010-05-08 23:59:59,,,147303,1825,537242,542931,91
,60848,62,19424,2010-04-24 10:31:14.280000,2010-05-09 23:59:59,,,147349,22314,537551,543655,93
,60917,68,1543,2010-04-26 08:51:46.250000,2010-04-25 23:59:59,,,147456,1751,537696,536952,91
,60909,66,1405,2010-04-26 08:50:23.877000,2010-05-10 23:59:59,,,147442,1610,537892,542427,91
,60910,67,1602,2010-04-26 08:50:28.720000,2010-05-10 23:59:59,,,147443,1814,537893,540681,91
,61185,72,1418,2010-04-27 09:27:44.563000,2010-04-27 23:59:59,,,147848,1624,538421,537303,93
,61184,71,1431,2010-04-27 09:26:24.423000,2010-04-27 23:59:59,,,147847,1637,538423,537302,93
,61183,70,1436,2010-04-27 09:13:15.657000,2010-05-12 23:59:59,,,147846,1642,538510,544731,93
,61215,75,1310,2010-04-28 08:11:12.943000,2010-04-28 23:59:59,,,147886,1513,538727,537714,91
,61218,78,1342,2010-04-28 08:12:29.317000,2010-04-28 23:59:59,,,147889,1545,538728,537717,91
,61213,73,1394,2010-04-28 08:10:24.740000,2010-04-28 23:59:59,,,147884,1598,538729,537712,91
,61214,74,1469,2010-04-28 08:10:52.567000,2010-04-28 23:59:59,,,147885,1675,538731,537713,91
,61217,77,1497,2010-04-28 08:12:01.863000,2010-04-28 23:59:59,,,147888,1703,538733,537716,91
,61216,76,1525,2010-04-28 08:11:36.380000,2010-04-28 23:59:59,,,147887,1732,538735,537715,91
,63018,157,1596,2010-05-24 08:24:20.180000,2010-05-23 23:59:59,,,151237,1808,538874,537744,91
,63018,157,1596,2010-05-24 08:24:20.180000,2010-05-23 23:59:59,,,151237,1808,538874,547923,91
,61352,84,1309,2010-05-01 08:18:44.827000,2010-05-01 00:00:00,,,148076,1512,539918,539124,91
,61349,81,1330,2010-05-01 08:16:28.703000,2010-05-01 00:00:00,,,148073,1533,539919,539120,91
,61351,83,1339,2010-05-01 08:17:24.250000,2010-05-01 00:00:00,,,148075,1542,539920,539122,91
,61353,85,1371,2010-05-01 08:19:10.970000,2010-05-01 00:00:00,,,148077,1574,539925,539125,91
,61348,80,1508,2010-05-01 08:16:04.470000,2010-05-01 00:00:00,,,148072,1714,539936,539119,91
,61350,82,1605,2010-05-01 08:16:55.280000,2010-05-01 00:00:00,,,148074,1822,539945,539121,91
,61647,90,1319,2010-05-03 10:01:59.640000,2010-05-02 23:59:59,,,148437,1522,542203,540057,93
,61643,86,1529,2010-05-03 09:29:47.970000,2010-05-02 23:59:59,,,148433,1736,542206,540024,93
,61645,88,1390,2010-05-03 09:39:20.593000,2010-05-03 23:59:59,,,148435,1594,542422,540041,93
,61644,87,1595,2010-05-03 09:38:54.220000,2010-05-03 23:59:59,,,148434,1807,542427,540040,93
,61646,89,1601,2010-05-03 10:01:11.483000,2010-05-03 23:59:59,,,148436,1813,542428,540052,93
,61905,94,1380,2010-05-04 11:32:01.497000,2010-05-04 23:59:59,,,148712,1583,542815,541003,93
,61906,95,1472,2010-05-04 11:32:26.200000,2010-05-04 23:59:59,,,148713,1678,542817,541006,93
,61904,93,1557,2010-05-04 11:31:37.450000,2010-05-04 23:59:59,,,148711,1766,542819,541002,93
,61903,92,1567,2010-05-04 11:31:09.480000,2010-05-04 23:59:59,,,148710,1776,542820,541001,93
,61922,96,1340,2010-05-05 08:18:22.653000,2010-05-05 23:59:59,,,148730,1757,543504,541558,95
,61972,102,1356,2010-05-06 09:27:32.980000,2010-05-06 23:59:59,,,148800,1559,544839,542178,93
,61967,97,1329,2010-05-06 09:17:07.323000,2010-05-21 23:59:59,,,148795,1532,545177,547339,93
,61968,98,1303,2010-05-06 09:17:12.387000,2010-05-21 23:59:59,,,148796,1506,545178,547547,93
,61969,99,7681,2010-05-06 09:17:21.763000,2010-05-21 23:59:59,,,148797,8211,545179,548997,93
,61970,100,1322,2010-05-06 09:26:21.730000,2010-05-20 23:59:59,,,148798,1525,545180,582976,93
,61971,101,1468,2010-05-06 09:26:25.590000,2010-05-20 23:59:59,,,148799,1674,545181,546872,93
,62034,104,1404,2010-05-07 09:20:03.543000,2010-05-07 23:59:59,,,148879,1609,545368,542726,93
,62241,119,1539,2010-05-12 14:27:04.220000,2010-05-07 23:59:59,,,149160,1746,545370,544569,91
,62035,105,1310,2010-05-07 09:20:39.090000,2010-05-07 23:59:59,,,148880,1789,545371,542727,93
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149397,1604,545379,582463,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149403,1608,545380,582464,91
,62033,103,1441,2010-05-07 09:05:17.310000,2010-05-22 23:59:59,,,148878,1647,545490,547686,93
,62061,106,1448,2010-05-08 08:50:04.620000,2010-05-08 23:59:59,,,148925,1654,545649,543153,95
,62062,107,1605,2010-05-08 08:53:06.340000,2010-05-08 23:59:59,,,148926,1823,545650,543154,95
,62584,137,1440,2010-05-18 08:19:10.773000,2010-05-18 23:59:59,,,149905,1818,545801,543251,91
,62584,137,1440,2010-05-18 08:19:10.773000,2010-05-18 23:59:59,,,149905,1818,545801,546255,91
,62139,110,1460,2010-05-10 09:26:53.577000,2010-05-09 23:59:59,,,149031,1666,545905,543643,93
,62138,109,1408,2010-05-10 09:25:13.250000,2010-05-10 23:59:59,,,149030,1613,546068,543641,93
,62140,111,1455,2010-05-10 09:27:50.797000,2010-05-10 23:59:59,,,149032,1661,546070,543644,93
,62193,113,1457,2010-05-11 12:40:43.877000,2010-05-11 23:59:59,,,149109,1663,546375,544189,93
,62192,112,1337,2010-05-11 12:40:13.343000,2010-05-26 23:59:59,,,149108,1540,546716,544178,93
,62192,112,1337,2010-05-11 12:40:13.343000,2010-05-26 23:59:59,,,149108,1540,546716,585171,93
,62208,114,1340,2010-05-12 08:11:55.140000,2010-05-12 23:59:59,,,149126,1543,546877,544421,91
,62210,116,1360,2010-05-12 08:13:04.687000,2010-05-12 23:59:59,,,149128,1563,546878,544423,91
,62209,115,19464,2010-05-12 08:12:36.093000,2010-05-12 23:59:59,,,149127,22398,546880,544422,91
,62948,151,1417,2010-05-22 09:35:38.163000,2010-06-06 23:59:59,,,151129,1623,546882,548776,93
,62949,152,7681,2010-05-22 09:35:41.883000,2010-06-06 23:59:59,,,151133,1749,546884,548996,93
,62211,117,1590,2010-05-12 08:17:55.173000,2010-05-27 23:59:59,,,149129,1801,546981,584565,91
,62212,118,1486,2010-05-12 08:17:58.767000,2010-05-27 23:59:59,,,149130,1692,546982,546757,91
,62247,121,1333,2010-05-13 08:31:08.517000,2010-05-13 23:59:59,,,149169,1536,547153,544727,91
,62248,122,1365,2010-05-13 08:31:32.327000,2010-05-13 23:59:59,,,149170,1568,547154,544728,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149398,1604,547185,582459,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149404,1608,547186,582460,91
,62246,120,1511,2010-05-13 08:30:38.407000,2010-05-28 23:59:59,,,149168,1717,547297,547707,91
,62319,126,1357,2010-05-14 14:43:34.767000,2010-05-14 23:59:59,,,149264,1560,547459,545261,93
,62312,124,1386,2010-05-14 14:18:28.907000,2010-05-14 23:59:59,,,149257,1590,547460,545242,93
,62318,125,1391,2010-05-14 14:37:11.780000,2010-05-14 23:59:59,,,149263,1595,547461,545260,93
,62311,123,1495,2010-05-14 14:17:55.733000,2010-05-29 23:59:59,,,149256,8222,547639,581297,93
,62727,147,1482,2010-05-20 08:33:03.587000,2010-05-15 23:59:59,,,150103,1688,547731,546873,91
,62411,133,1554,2010-05-17 08:25:14.173000,2010-05-16 23:59:59,,,149412,1763,548007,545862,91
,62412,134,1310,2010-05-17 08:35:01.983000,2010-05-17 23:59:59,,,149413,1806,548226,545868,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149399,1604,548231,582465,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149405,1608,548232,582466,91
,62405,127,1593,2010-05-17 08:24:04.250000,2010-06-01 00:00:00,,,149393,1804,548342,581291,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149406,1604,548343,582467,91
,62406,128,1403,2010-05-17 08:24:08.923000,2010-06-01 00:00:00,,,149407,1608,548344,582468,91
,62407,129,1400,2010-05-17 08:24:13.140000,2010-06-01 00:00:00,,,149408,1605,548345,581319,91
,62408,130,1375,2010-05-17 08:24:16.110000,2010-06-01 00:00:00,,,149409,1578,548346,582766,91
,62409,131,1299,2010-05-17 08:24:19.953000,2010-06-01 00:00:00,,,149410,1502,548347,547717,91
,62410,132,1433,2010-05-17 08:24:23.047000,2010-06-01 00:00:00,,,149411,1639,548348,546904,91
,62585,138,1341,2010-05-18 08:19:46.680000,2010-05-18 23:59:59,,,149906,1544,548772,546256,91
,62586,139,1525,2010-05-18 08:20:06.180000,2010-05-18 23:59:59,,,149907,1781,548775,546257,91
,62582,135,1449,2010-05-18 08:18:47.163000,2010-06-02 23:59:59,,,149903,1655,548909,548683,91
,62583,136,1358,2010-05-18 08:18:52.790000,2010-06-02 23:59:59,,,149904,1561,548910,581236,91
,62688,144,1344,2010-05-19 09:43:41.227000,2010-05-19 23:59:59,,,150052,1547,549084,546626,93
,62687,143,1363,2010-05-19 09:42:54.490000,2010-05-19 23:59:59,,,150051,1566,549085,546625,93
,62690,146,1505,2010-05-19 09:46:57.507000,2010-05-19 23:59:59,,,150054,1711,549089,546628,93
,62689,145,1537,2010-05-19 09:46:27.383000,2010-05-19 23:59:59,,,150053,1744,549090,546627,93
,62684,142,1292,2010-05-19 09:42:07.710000,2010-05-19 23:59:59,,,150048,1820,549092,546624,93
,62682,140,1467,2010-05-19 09:41:38.773000,2010-06-03 23:59:59,,,150046,1673,549199,582731,93
,62683,141,1501,2010-05-19 09:41:42.837000,2010-06-03 23:59:59,,,150047,1707,549200,581285,93
,69629,174,1518,2010-06-01 13:30:16.907000,2010-06-15 23:59:59,,,162226,1724,549724,582965,93
,62902,148,1392,2010-05-21 09:14:18.443000,2010-06-05 23:59:59,,,151066,1596,549922,583939,93
,62948,151,1417,2010-05-22 09:35:38.163000,2010-06-06 23:59:59,,,151130,1623,550107,548777,93
,62949,152,7681,2010-05-22 09:35:41.883000,2010-06-06 23:59:59,,,151134,1749,550108,548998,93
,62946,149,1325,2010-05-22 09:35:31.883000,2010-06-06 23:59:59,,,151126,1528,550213,585226,93
,62947,150,1598,2010-05-22 09:35:34.897000,2010-06-06 23:59:59,,,151127,1810,550214,584523,93
,62948,151,1417,2010-05-22 09:35:38.163000,2010-06-06 23:59:59,,,151131,1623,550215,548778,93
,62949,152,7681,2010-05-22 09:35:41.883000,2010-06-06 23:59:59,,,151135,1749,550216,583402,93
,63020,159,1310,2010-05-24 08:30:53.210000,2010-05-24 23:59:59,,,151239,1602,550494,547925,91
,63019,158,1421,2010-05-24 08:28:51.587000,2010-05-24 23:59:59,,,151238,1627,550495,547924,91
,63011,153,1295,2010-05-24 08:23:46.553000,2010-06-08 23:59:59,,,151229,1825,550635,585410,91
,63012,154,1605,2010-05-24 08:23:50.757000,2010-06-07 23:59:59,,,151230,1817,550636,584524,91
,63014,156,1604,2010-05-24 08:23:57.693000,2010-06-07 23:59:59,,,151232,1816,550638,583621,91
,63077,161,1543,2010-05-25 07:51:55.313000,2010-05-25 23:59:59,,,151327,1751,550862,548340,91
,81146,280,1478,2010-07-01 09:19:39.907000,2010-06-19 23:59:59,,,177432,1684,550865,613447,93
,63076,160,19424,2010-05-25 07:46:51.703000,2010-06-09 23:59:59,,,151326,22314,550964,584136,91
,63125,164,1305,2010-05-26 10:45:47.063000,2010-05-26 23:59:59,,,151409,1508,551119,548677,91
