Totals & Averages,RECEIPTID,TENANTID,EMPLOYEEID,DCAMT,DRCPT,IRECEIPTNUM,PAYMENTID
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404755
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404756
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404757
,242868,1361,93,996,2010-03-30 15:51:31.703000,74,404758
,242915,1575,93,60,2010-03-31 09:26:20.610000,75,404821
,242952,1558,93,145,2010-03-31 12:55:32.907000,76,404878
,242952,1558,93,145,2010-03-31 12:55:32.907000,76,404879
,242952,1558,93,145,2010-03-31 12:55:32.907000,76,404880
,242953,1338,93,147,2010-03-31 12:59:21.187000,77,404881
,242987,1402,93,136,2010-03-31 14:02:43.453000,78,404925
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404947
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404948
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404949
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404950
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404951
,243002,1485,93,264,2010-03-31 14:46:51.483000,79,404952
,243005,1355,93,190,2010-03-31 14:55:09.437000,80,404954
,243009,1578,93,133,2010-03-31 15:02:56.407000,81,404964
,243009,1578,93,133,2010-03-31 15:02:56.407000,81,404965
,243009,1578,93,133,2010-03-31 15:02:56.407000,81,404966
,243131,1485,91,0,2010-04-01 08:34:04,82,405241
,243131,1485,91,0,2010-04-01 08:34:04,82,405242
,243133,1355,91,15,2010-04-01 08:45:06.937000,84,405243
,243138,1578,91,15,2010-04-01 09:19:48.657000,85,405248
,243139,1604,91,100,2010-04-01 09:30:55.843000,86,405249
,243140,1558,91,18,2010-04-01 09:32:27.640000,87,405250
,243141,1403,91,15,2010-04-01 09:43:19.093000,88,405251
,243142,1403,91,15,2010-04-01 09:44:28.407000,89,405252
,243143,1400,91,120,2010-04-01 09:46:29.593000,90,405253
